sys.exec.out.time {s},test_object.var_char_numeric {--},test_object.var_uchar {1},test_object.var_sint {1},test_object.var_usint {1},test_object.var_int {1},test_object.var_uint {1},test_object.var_lint {1},test_object.var_ulint {1},test_object.var_llint {1},test_object.var_ullint {1},test_object.var_float {1},test_object.var_double {1},test_object.var_bool {1}
                   0,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,0
                 0.1,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,0
                 0.2,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,0
                 0.3,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,0
                 0.4,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,1
                 0.5,100,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2,1
                 0.6,100,5,2,3,4,5,6,7,8,9,                 0.1,                 0.2,1
                 0.7,100,5,6,3,4,5,6,7,8,9,                 0.1,                 0.2,1
                 0.8,100,5,6,0,4,5,6,7,8,9,                 0.1,                 0.2,1
                 0.9,100,5,6,0,1,5,6,7,8,9,                 0.1,                 0.2,1
                   1,100,5,6,0,1,9,6,7,8,9,                 0.1,                 0.2,1
                 1.1,100,5,6,0,1,9,10,7,8,9,                 0.1,                 0.2,1
                 1.2,100,5,6,0,1,9,10,11,8,9,                 0.1,                 0.2,1
                 1.3,100,5,6,0,1,9,10,11,12,9,                 0.1,                 0.2,1
                 1.4,100,5,6,0,1,9,10,11,12,13,                 0.1,                 0.2,1
                 1.5,100,5,6,0,1,9,10,11,12,13,                 0.1,                 0.2,1
                 1.6,100,5,6,0,1,9,10,11,12,13,                 0.1,                 0.2,1
                 1.7,100,5,6,0,1,9,10,11,12,13,                 0.1,                 0.2,1
                 1.8,100,5,6,0,1,9,10,11,12,13,             0.10001,                 0.2,1
                 1.9,100,5,6,0,1,9,10,11,12,13,             0.10001,                 0.3,1
                   2,100,9,6,0,1,9,10,11,12,13,             0.10001,                 0.3,0
