sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,                 100,                   1,1
                   2,             3.14159,                 100,                   2,2
                   3,             3.14159,                  50,                   3,3
                   4,             3.14159,                  50,                   4,4
                   5,             3.14159,                 150,                   5,5
                   6,             3.14159,                 150,                   6,6
                   7,             3.14159,                 103,                   7,7
                   8,             3.14159,                 150,                   8,8
                   9,             3.14159,                 150,                   9,9
                  10,             3.14159,                  50,                  10,10
                  11,             3.14159,                  50,                  11,11
                  12,             3.14159,                 100,                  12,12
                  13,             3.14159,                 100,                  13,13
                  14,             3.14159,            8.675309,                  14,14
                  15,             3.14159,            8.675309,                  15,15
