sys.exec.out.time {s},test_object.var_char_numeric {--},test_object.var_uchar {1},test_object.var_sint {1},test_object.var_usint {1},test_object.var_int {1},test_object.var_uint {1},test_object.var_lint {1},test_object.var_ulint {1},test_object.var_llint {1},test_object.var_ullint {1},test_object.var_float {1},test_object.var_double {1}
                   0,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.1,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.2,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.3,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.4,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.5,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.6,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.7,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.8,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.9,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                   1,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.1,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.2,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.3,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.4,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.5,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.6,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.7,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.8,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                 1.9,-62,96,300,450,600,750,900,1050,1200,1350,                  15,                  30
                   2,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.1,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.2,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.3,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.4,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.5,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.6,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.7,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.8,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                 2.9,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
                   3,-62,96,200,450,600,750,900,1050,1200,1350,                  15,                  30
