sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,            8.675309,                   1,1
                   2,             3.14159,            8.675309,                   2,2
                   3,             3.14159,            8.675309,                   3,3
                   4,             3.14159,            8.675309,                   4,4
                   5,             3.14159,   8.537872455261137,                   5,5
                   6,             3.14159,   9.070997072993785,                   6,6
                   7,             3.14159,   8.739707385322873,                   7,7
                   8,             3.14159,   8.298357078669408,                   8,8
                   9,             3.14159,   8.889853717943335,                   9,9
                  10,             3.14159,   8.102231676646568,                  10,10
