dyn_time{s}, x1_alias1{kg}, x2_alias1{N}, verif_test.sim_data.x1{kg}, verif_test.sim_data.i1{count}, x1_alias2{kg}, verif_test.sim_data.b1{--}, verif_test.sim_data.s1{--}, verif_test.sim_data.e1{1}
       1,   -1.85175000000000001,   -2.70014850816794905,   -1.85175000000000001,     3,   -1.85175000000000001,     0,                     test,     3
       2,    2.77762500000000001,   0.900049502722649608,    2.77762500000000001,     3,    2.77762500000000001,     1,                     test,     3
       3,   -4.16643749999999979,  -0.300016500907550165,   -4.16643749999999979,    -4,   -4.16643749999999979,     0,                     test,     3
       4,    6.24965624999999925,  -0.500027501512583017,    6.24965624999999925,     6,    6.24965624999999925,     1,                     test,     3
       5,   -9.37448437499999798,   -1.03339016979267173,   -9.37448437499999798,    -9,   -9.37448437499999798,     0,                     test,     3
       6,     14.061726562499997,   0.677815057605945848,     14.061726562499997,    -9,     14.061726562499997,     1,                     test,     3
       7,   -21.0925898437499946,   0.440764982814795259,   -21.0925898437499946,    -9,   -21.0925898437499946,     0,                     test,     3
       8,    31.6388847656249936,  -0.598798366008895688,    31.6388847656249936,    13,    31.6388847656249936,     1,                     test,     3
       9,   -47.4583271484374905,  -0.704153954804962678,   -47.4583271484374905,   -19,   -47.4583271484374905,     0,                     test,     3
   1e+01,    71.1874907226562357,   0.633916895607584685,    71.1874907226562357,   -19,    71.1874907226562357,     1,                     test,     3
