sys.exec.out.time {s},verif_test.sim_data.dyn_time {s},verif_test.sim_data.x1 {kg},verif_test.sim_data.x2 {N},verif_test.sim_data.i1 {count},verif_test.sim_data.b1 {--},verif_test.sim_data.e1 {1}
                   0,                   1,            -1.85175,  -2.700148508167949,3,0,3
                   1,                   2,            2.777625,  0.9000495027226496,3,1,3
                   2,                   3,          -4.1664375, -0.3000165009075502,-4,0,3
                   3,                   4,   6.249656249999999,  -0.500027501512583,6,1,3
                   4,                   5,  -9.374484374999998,  -1.033390169792672,-9,0,3
                   5,                   6,       14.0617265625,  0.6778150576059458,-9,1,3
                   6,                   7,  -21.09258984374999,  0.4407649828147953,-9,0,3
                   7,                   8,   31.63888476562499, -0.5987983660088957,13,1,3
                   8,                   9,  -47.45832714843749, -0.7041539548049627,-19,0,3
                   9,                  10,   71.18749072265624,  0.6339168956075847,-19,1,3
