sys.exec.out.time {s},planet_rel_state.relstate_name.position_vector_only {--},planet_rel_state.relstate_name.state.rot.ang_vel_mag {rad/s},planet_rel_state.relstate_direct.position_vector_only {--},planet_rel_state.relstate_direct.state.rot.ang_vel_mag {rad/s},planet_rel_state.position_mag_name {m},planet_rel_state.position_mag_direct {m},planet_rel_state.velocity_mag_name {m/s},planet_rel_state.velocity_mag_direct {m/s},planet_rel_state.relstate_name.state.trans.position[0] {m},planet_rel_state.relstate_name.state.trans.position[1] {m},planet_rel_state.relstate_name.state.trans.position[2] {m},planet_rel_state.relstate_name.state.trans.velocity[0] {m/s},planet_rel_state.relstate_name.state.trans.velocity[1] {m/s},planet_rel_state.relstate_name.state.trans.velocity[2] {m/s},planet_rel_state.relstate_direct.state.trans.position[0] {m},planet_rel_state.relstate_direct.state.trans.position[1] {m},planet_rel_state.relstate_direct.state.trans.position[2] {m},planet_rel_state.relstate_direct.state.trans.velocity[0] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[1] {m/s},planet_rel_state.relstate_direct.state.trans.velocity[2] {m/s}
                   0,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  10,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  20,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  30,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  40,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  50,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  60,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  70,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  80,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                  90,1,                   0,1,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
