sys.exec.out.time {s},test_object.var_char_numeric {--},test_object.var_uchar {1},test_object.var_sint {1},test_object.var_usint {1},test_object.var_int {1},test_object.var_uint {1},test_object.var_lint {1},test_object.var_ulint {1},test_object.var_llint {1},test_object.var_ullint {1},test_object.var_float {1},test_object.var_double {1}
                   0,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.1,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.2,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.3,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.4,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.5,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.6,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.7,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.8,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                 0.9,97,1,2,3,4,5,6,7,8,9,                 0.1,                 0.2
                   1,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.1,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.2,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.3,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.4,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.5,99,97,152,153,154,5,156,157,158,9,                 0.1,               150.2
                 1.6,99,97,152,153,154,5,156,157,158,159,                 0.1,               150.2
                 1.7,99,97,152,153,154,5,156,157,158,159,                 0.1,               150.2
                 1.8,99,97,152,153,154,5,156,157,158,159,                 0.1,               150.2
                 1.9,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                   2,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.1,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.2,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.3,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.4,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.5,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 2.6,99,97,152,153,4,5,6,7,158,159,                 0.1,               150.2
                 2.7,99,97,152,153,4,5,6,7,158,159,                 0.1,               150.2
                 2.8,99,97,152,153,4,5,6,7,158,159,                 0.1,               150.2
                 2.9,99,97,152,153,4,5,6,7,158,159,                 0.1,               150.2
                   3,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.1,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.2,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.3,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.4,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.5,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.6,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.7,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.8,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                 3.9,97,1,2,3,4,5,6,7,8,159,                 0.1,                 0.2
                   4,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.1,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.2,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.3,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.4,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.5,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.6,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.7,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.8,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                 4.9,99,97,152,153,4,5,156,157,158,159,                 0.1,               150.2
                   5,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.1,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.2,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.3,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.4,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.5,99,97,102,153,4,155,156,157,158,159,           150.10001,               150.2
                 5.6,99,97,102,153,4,155,6,7,158,159,           150.10001,               150.2
                 5.7,99,97,102,153,4,155,6,7,158,159,           150.10001,               150.2
                 5.8,99,97,102,153,4,155,6,7,158,159,           150.10001,               150.2
                 5.9,99,97,102,153,4,155,6,7,158,159,           150.10001,               150.2
                   6,99,97,102,153,4,155,6,7,158,159,           150.10001,               150.2
