sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,            8.675309,                   1,1
                   2,             3.14159,            8.675309,                   2,2
                   3,             3.14159,                  50,                   3,3
                   4,             3.14159,                  50,                   4,4
                   5,                 100,                  50,                   5,5
                   6,                 100,                  50,                   6,6
                   7,                 100,                  50,                   7,7
                   8,                 100,                 150,                   8,8
                   9,                 100,                 150,                   9,9
                  10,                 100,                 150,                  10,10
