sys.exec.out.time {s},multi.independent_variable {1},multi.dependent_variable[0] {1},multi.dependent_variable[1] {1},multi.dependent_variable[2] {1},multi.dependent_variable[3] {1}
                   0,                 1.2,                11.2,               111.2,                 0.1,                 0.1
                   1,                 2.2,                12.2,               112.2,                 0.1,                 0.1
                   2,                 3.2,                13.2,               113.2,                 0.1,                 0.1
                   3,                 2.7,               212.7,              -212.7,                 2.3,                 0.1
                   4,                 3.7,               213.7,              -213.7,                 1.3,                 0.1
                   5,                 4.7,               214.7,              -214.7,  0.2999999999999998,                 0.1
                   6,                10.4,               210.4,              -210.4,                 4.6,                 0.1
                   7,                11.4,               211.4,              -211.4,                 3.6,                 0.1
                   8,                12.4,               212.4,              -212.4,                 2.6,                 0.1
                   9,                20.4,               310.4,              -310.4,   4.600000000000001,  -1.600000000000001
                  10,                21.4,               311.4,              -311.4,   3.600000000000001, -0.6000000000000014
                  11,                22.4,               312.4,              -312.4,   2.600000000000001,  0.3999999999999986
                  12,                10.4,               210.4,              -210.4,                 4.6,  0.3999999999999986
                  13,                11.4,               211.4,              -211.4,                 3.6,  0.3999999999999986
                  14,                12.4,               212.4,              -212.4,                 2.6,  0.3999999999999986
                  15,                13.4,               213.4,              -213.4,                 1.6,  0.3999999999999986
                  16,                14.4,               214.4,              -214.4,  0.5999999999999996,  0.3999999999999986
                  17,                15.4,               215.4,              -215.4, -0.4000000000000004,  0.3999999999999986
                  18,                20.4,               215.4,              -215.4, -0.4000000000000004,  0.3999999999999986
                  19,                21.4,               215.4,              -215.4, -0.4000000000000004,  0.3999999999999986
                  20,                22.4,               215.4,              -215.4, -0.4000000000000004,  0.3999999999999986
                  21,                10.4,               210.4,              -210.4,                 4.6,  0.3999999999999986
                  22,                11.4,               211.4,              -211.4,                 3.6,  0.3999999999999986
                  23,                12.4,               212.4,              -212.4,                 2.6,  0.3999999999999986
                  24,                10.4,               212.4,              -212.4,                 2.6,  0.3999999999999986
                  25,                11.4,               212.4,              -212.4,                 2.6,  0.3999999999999986
                  26,                12.4,               212.4,              -212.4,                 2.6,  0.3999999999999986
