sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,   4.450253821044551
                 1.1,    6.58275229197514
                 1.2,    5.25759354129149
                 1.3,   3.492192314677632
                 1.4,    5.85817887177334
                 1.5,   2.707690706586273
                 1.6,   5.885829421442748
                 1.7,   5.040260350296103
                 1.8,   5.175322701019304
                 1.9,    4.46475099556467
                   2,   5.171338438632874
                 2.1,    6.70490379175152
                 2.2,   3.695138775697351
                 2.3,   4.256372987310359
                 2.4,   4.573549922800192
                 2.5,   5.098370508655275
                 2.6,   3.726780018506659
                 2.7,   3.518940295532399
                 2.8,   4.943175714297675
                 2.9,   5.067709807196524
                   3,   4.736322546904526
                 3.1,   6.528260210923756
                 3.2,   5.478200333280805
                 3.3,   4.142534787644038
                 3.4,   5.639304930865086
                 3.5,   8.114833659981581
                 3.6,    5.34558369682249
                 3.7,   2.761228696886736
                 3.8,   4.735806635674482
                 3.9,   7.086732516935687
                   4,   5.983809039614451
                 4.1,   4.105174775769214
                 4.2,   6.048590977032283
                 4.3,   6.245675108500064
                 4.4,   6.281073357067248
                 4.5,   4.200831307069496
                 4.6,   5.512594643865573
                 4.7,    6.34633631340499
                 4.8,   4.256963298231469
                 4.9,   4.444844572691409
                   5,   4.853310326166307
