sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                4.04
                 1.2,                4.08
                 1.3,                4.12
                 1.4,                4.16
                 1.5,                 4.2
                 1.6,                4.24
                 1.7,   4.279999999999999
                 1.8,                4.32
                 1.9,   4.359999999999999
                   2,                   2
                 2.1,                   2
                 2.2,                   2
                 2.3,                   2
                 2.4,                   2
                 2.5,                   2
                 2.6,                   2
                 2.7,                   2
                 2.8,                   2
                 2.9,                   2
                   3,                   2
                 3.1,                   2
                 3.2,                   2
                 3.3,                   2
                 3.4,                   2
                 3.5,                   5
                 3.6,                5.04
                 3.7,                5.08
                 3.8,                5.12
                 3.9,                5.16
                   4,                 5.2
                 4.1,                5.24
                 4.2,                5.28
                 4.3,                5.32
                 4.4,                5.36
                 4.5,                 5.4
                 4.6,                5.44
                 4.7,                5.48
                 4.8,                5.52
                 4.9,                5.56
                   5,                 5.6
