sys.exec.out.time {s},test_object.var {--}
                   0,                   2
                 0.1,                   2
                 0.2,                   2
                 0.3,                   2
                 0.4,                   2
                 0.5,                   2
                 0.6,                   2
                 0.7,                   2
                 0.8,                   2
                 0.9,                   2
                   1,                   4
                 1.1,                4.04
                 1.2,                4.08
                 1.3,                4.12
                 1.4,                4.16
                 1.5,                 4.2
                 1.6,                4.24
                 1.7,   4.279999999999999
                 1.8,                4.32
                 1.9,   4.359999999999999
                   2,                 4.4
                 2.1,                4.44
                 2.2,                4.48
                 2.3,                4.52
                 2.4,                4.56
                 2.5,                 4.6
                 2.6,   4.640000000000001
                 2.7,                4.68
                 2.8,                4.72
                 2.9,                4.76
                   3,                4.72
                 3.1,                4.68
                 3.2,                4.64
                 3.3,                 4.6
                 3.4,                4.56
                 3.5,                4.52
                 3.6,                4.48
                 3.7,                4.44
                 3.8,   4.399999999999999
                 3.9,   4.359999999999999
                   4,   4.319999999999999
                 4.1,   4.279999999999999
                 4.2,   4.239999999999999
                 4.3,   4.199999999999999
                 4.4,   4.159999999999999
                 4.5,   4.119999999999999
                 4.6,                4.08
                 4.7,   4.039999999999999
                 4.8,                   4
                 4.9,   3.959999999999999
                   5,   3.919999999999999
