sys.exec.out.time {s},test.var_i {1},test.constraints.interval_x2i.violation_count {--},test.constraints.interval_x2i.violated {--},test.constraints.interval_x2i.tests[0].violation {--},test.constraints.interval_x2i.tests[1].violation {--}
                   0,9,1,1,1,1
                 0.1,9,1,1,1,1
                 0.2,9,1,1,1,1
                 0.3,9,1,1,1,1
                 0.4,9,1,1,1,1
                 0.5,9,1,1,1,1
                 0.6,9,1,1,1,1
                 0.7,9,1,1,1,1
                 0.8,9,1,1,1,1
                 0.9,9,1,1,1,1
                   1,10,1,0,0,1
                 1.1,10,1,0,0,1
                 1.2,10,1,0,0,1
                 1.3,10,1,0,0,1
                 1.4,10,1,0,0,1
                 1.5,10,1,0,0,1
                 1.6,10,1,0,0,1
                 1.7,10,1,0,0,1
                 1.8,10,1,0,0,1
                 1.9,10,1,0,0,1
                   2,21,2,1,1,1
                 2.1,21,2,1,1,1
                 2.2,21,2,1,1,1
                 2.3,21,2,1,1,1
                 2.4,21,2,1,1,1
                 2.5,21,2,1,1,1
                 2.6,21,2,1,1,1
                 2.7,21,2,1,1,1
                 2.8,21,2,1,1,1
                 2.9,21,2,1,1,1
                   3,25,2,1,1,1
                 3.1,25,2,1,1,1
                 3.2,25,2,1,1,1
                 3.3,25,2,1,1,1
                 3.4,25,2,1,1,1
                 3.5,25,2,1,1,1
                 3.6,25,2,1,1,1
                 3.7,25,2,1,1,1
                 3.8,25,2,1,1,1
                 3.9,25,2,1,1,1
                   4,33,2,0,1,0
                 4.1,33,2,0,1,0
                 4.2,33,2,0,1,0
                 4.3,33,2,0,1,0
                 4.4,33,2,0,1,0
                 4.5,33,2,0,1,0
                 4.6,33,2,0,1,0
                 4.7,33,2,0,1,0
                 4.8,33,2,0,1,0
                 4.9,33,2,0,1,0
                   5,37,2,0,1,0
                 5.1,37,2,0,1,0
                 5.2,37,2,0,1,0
                 5.3,37,2,0,1,0
                 5.4,37,2,0,1,0
                 5.5,37,2,0,1,0
                 5.6,37,2,0,1,0
                 5.7,37,2,0,1,0
                 5.8,37,2,0,1,0
                 5.9,37,2,0,1,0
                   6,5,3,1,1,1
                 6.1,5,3,1,1,1
                 6.2,5,3,1,1,1
                 6.3,5,3,1,1,1
