sys.exec.out.time {s},test_object.constant_value {--},test_object.constant_value_replaced {--},test_object.linear_value {--},test_object.counting_int {--}
                   0,             3.14159,            8.675309,                   0,0
                   1,             3.14159,            8.675309,                   1,1
                   2,             3.14159,            8.675309,                   2,2
                   3,             3.14159,           58.675309,                   3,3
                   4,             3.14159,           58.675309,                   4,4
                   5,           103.14159,           58.675309,                   5,5
                   6,           203.14159,           58.675309,                   6,6
                   7,           303.14159,           58.675309,                   7,7
                   8,           403.14159,          208.675309,                   8,8
                   9,           503.14159,          208.675309,                   9,9
                  10,           603.14159,          208.675309,                  10,10
